Name,CAS #,smiles,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
Batanopride,102670-46-2,c1(c(cc(Cl)c(c1)N)C(NCCN(CC)CC)=O)O[C@@H](C(C)=O)C,1.5,9.32,0.46,2.68,2.7,"J. V. St. Peter, M. E. Brady, E. E Foote, K.A. Dandekar, L. Smaldone, J. L. Pykkonen, W. E Keane, and C. E. Halstenson. The disposition and protein binding of batanopride and its metabolites in subjects with renal impairment. Eur J Clin Pharmacol (1993) 45:59-53 ","N=13 (8M/5F) 78 kg average weight reported, 3.6 mg/kg 15 minutes i.v. infusion. Normal subjects only. MRT from clearance and VDss.",,1986,355.86,6,2,84.7,9,cationic,1.7,0.15
Methylnaltrexone,73232-52-7,C[N+]1(CC2CC2)CC[C@]34[C@H]5Oc6c(O)ccc(C[C@@H]1[C@]3(O)CCC5=O)c46,2.6,22.0,0.87,2.0,2.5,"Yuan CS, Doshan H, Charney MR, O'Connor M, Karrison T, Maleckar SA, Israel RJ, and Moss J (2005) Tolerability, gut effects, and pharmacokinetics of methylnaltrexone following repeated intravenous administration in humans.  J. Clin. Pharmacol.  45: 538-546. ppb: Reported by PDR as The fraction of methylnaltrexone bromide bound to human plasma proteins is 11.0% to 15.3%, as determined by equilibrium dialysis. Aceessed December 2014. http://www.pdr3d.com/detail.php?c=7437#section-13",CAS # for methyl naltrexone bromide. CAS for parent 83387-25-1. SMILES entered for parent without bromide anion.,,1979,356.44,5,2,66.8,2,neutral,-2.7,-1.4
Rolofylline,136199-02-5,C12CC3C(C1)(CC(C3)C2)c1nc2n(c(=O)n(c(=O)c2[nH]1)CCC)CCC,4.3,5.0,,14.1,18.1,"Mark Stroh, PhD,Victor Dishy, MD,Waldemar Radziszewski, MD, PhDEunhee Hwang, PhD, Nicole Lazarus-Shipitofsky, PharmD, Howard Dittrich, MD, Amy O. Johnson-Levonas, PhD, Ryan Lutz, MS,
John A. Wagner, MD, PhD, and Eseng Lai, MD, PhD. The Effects of Multiple Doses of Rolofylline on the Single-Dose Pharmacokinetics of Midazolam in Healthy Subjects.American Journal of Therapeutics 17, 53–60 (2010)","KW 3902. Data digitized from plot reported by Stroh et al. Data corrected for residual concentration at the start of day 4 (39 nM) with kel assumed to be the same. All points digitized were corrected by subtracting 
the corresponding C(t) = C(0)*exp(-kel*t) at that point. 22% extrapolation.Initial AUC (uncorrected)  within 9% of reported AUC0-t.",,1991,356.46,6,1,72.7,5,neutral,3.2,3.2
RSD921,114419-77-1,CN([C@@H]1CCCC[C@H]1N2CCCC2)C(=O)Cc3cccc4c3ccs4,1.1,3.0,,5.9,5.5,"Wellington Ribeiro, Demian R. Ifa, Gaetano Corso, John Salmon, Leonardo A. Moraes, Marcos N. Eberlin,  Gilberto de Nucci. Determination of RSD921 in human plasma by high-performance liquid chromatography–tandem mass spectrometry using tri-deuterated RSD921 as internal standard: application to a phase I clinical trial. J. Mass Spectrom. 2001; 36: 1133–1139","PD-123497. Digitized from plot reported but no comparative data offered.  NCA: AUCall (ng*h/mL) = 21.5, AUCinf (ng*h/mL) = 22.3",,1988,356.52,3,0,23.5,4,cationic,4.4,3.2
DX-52-1,96251-59-1,c12[C@@H]([N@@]3[C@@H]([C@@H]4C[C@@H]([C@@H]([N@@]4C)[C@@H]3Cc1cccc2OC)C(=O)O)C#N)CO,0.23,3.06,,1.23,1.52,"Bunnell, Craig A.; Supko, Jeffrey G.; Eder, Joseph Paul, Jr.; Clark, Jeffrey W.; Lynch, Thomas J.; Kufe, Donald W.; Shulman, Lawrence N. Phase I clinical trial of 7-​cyanoquinocarcinol (DX-​52-​1) in adult patients with refractory solid malignancies. Cancer Chemotherapy and Pharmacology. 2001, 48, 347-355.","NSC607097. 1.73 m2/70 kg conversion factor used. VDss reported as 9.53 L/m2 and clearance 7.43 L/m2/h, in Table 4. N=12.",,1984,357.4,7,2,97.0,4,anionic,-0.018000000000000002,-3.2
Cinacalcet ,226256-56-0,c1cccc2cccc(c12)[C@H](NCCCc1cc(C(F)(F)F)ccc1)C,17.6,18.3,0.05,16.0,19.9,Ref. through PP. 2004-Feb-12  PDF(1502k) Pharmacology Review 021688/S-000 Part 01 ,Cinacalcet is approximately 93% to 97% bound to plasma protein(s).,reported as extensively metabolize and then excreted in urine but no defined amounts. See ref. for PK data.,2001,357.41,1,1,12.0,6,cationic,6.6,5.1
Rosiglitazone,122320-73-4,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3,0.2,0.65,0.002,5.1,3.9,"Cox PJ, Ryan DA, Hollis FJ, Harris AM, Miller AK, Vousden M, and Cowley H (2000) Absorption, disposition, and metabolism of rosiglitazone, a potent thiazolidinedione insulin sensitizer, in humans.  Drug Metab. Dispos. 28: 772-780.  Miller AK, DiCicco RA, and Freed MI (2002) The effect of ranitidine on the pharmacokinetics of rosiglitazone in healthy adult male volunteers.  Clin. Ther. 24: 1062-1071.  Avandia Product Label",,,1989,357.43,6,1,71.5,7,anionic,3.2,0.25
Nalbuphine,20594-83-6,O[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC6CCC6)c45,4.6,22.0,0.5,3.5,3.7,"Aitkenhead AR, Lin ES, and Achola KJ (1988) The pharmacokinetics of oral and intravenous nalbuphine in healthy volunteers.  Br. J. Clin. Pharmacol. 25: 264-268.   Jaillion P, Gardin ME, Lecocq B, Richard MO, Meignan S, Blondel Y, Grippat JC, Bergnieres J, and Vergnoux O (1989) Pharmacokinetics of nalbuphine in infants, young healthy volunteers, and elderly patients.  Clin. Pharmacol. Ther. 46: 226-233",,,1967,357.44,5,3,73.2,2,cationic,2.0,1.2
Oxybutynin,5633-20-5,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2,0.85,5.1,0.00339999999999999,2.7,7.2,"Douchamps J, Derenne F, Stockis A, Gangji D, Juvent M, and Herchuelz A (1988) The pharmacokinetics of oxybutynin in man.  Eur. J. Clin. Pharmacol. 35: 515-520.  Mizushima H, Takanaka K, Abe K, Fukazawa I, and Ishizuka H (2007) Stereoselective pharmacokinetics of oxybutynin and N-desethyloxybutynin in vitro and in vivo. Xenobiotica 37: 59-73.",Parameters calculated from C vs t data obtained by digitization of the plot provided in the reference.  Used data from 1 mg dose.,,1964,357.49,4,1,49.8,10,cationic,4.3,3.9
Indomethacin,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3,0.096,1.3,0.01,1.2,1.4,"Yeh KC, Berger ET, Breault GO, and Lei BE (1982) Effect of sustained release on the pharmacokinetic profile of indomethacin in man.  Biopharm. Drug Dispos. 3: 219-230.  Indocin Product Label.",CL and half-life were calculated from C vs t data included in the reference.  VDss was calculated using micro rate constants provided.,,1955,357.79,5,1,68.5,5,anionic,3.4,0.59
Bendamustine,16506-27-7,c12n(C)c(CCCC(=O)O)nc1cc(N(CCCl)CCCl)cc2,0.22,4.49,0.05,0.81,0.41,"Ogura et al. Phase I and pharmacokinetic study of bendamustine hydrochloride in relapsed or refractory indolent B-cell non-Hodgkin lymphoma and mantle cell lymphoma. Cancer Science, 2010, 101, 2054-2058. ppb: The PDR states: In vitro, the binding of bendamustine to human serum plasma proteins ranged from 94-96% and was concentration independent from 1-50 μg/mL. Accessed January 2 2015. http://www.pdr3d.com/detail.php?c=135686#section-13","Plasma data with time point adjusted to match the reported times. N=6, 70 kg average weight assumed, 120 mg/m2 dose (= 2.96 mg/kg, using 1.73 m2/70 kg conversion), 1-hr infusion.",,1973,358.26,5,1,58.4,9,zwitterionic,3.0,0.65
Prednisone,53-03-2,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,0.57,2.5,0.27,3.8,2.9,"Georgitis JW, Flesher KA, and Szefler SJ (1982) Bioavailability assessment of a liquid prednisone preparation.  J. Allerg. Clin. Immunol. 70: 243-247.  Ferry JJ and Wagner JG (1987) The nonlinear pharmacokinetics of prednisone and prednisolone. II. Plasma protein binding of prednisone and prednsolone in rabbit and human plasma.  Biopharm. Drug Dispos. 8: 261-272.",Calculated parameters from C vs t data provided in the reference.,,1948,358.43,5,2,91.7,2,neutral,1.4,1.4
Cilastatin,82009-34-5,CC1(C)C[C@@H]1C(=O)N\C(=C/CCCCSC[C@H](N)C(=O)O)\C(=O)O,0.15,2.3,0.6,1.1,0.86,"Saito A. Pharmacokinetics of panipenem/betamipron.  Chemotherapy 1991, 39(Suppl. 3): 227-235.   Primaxin IV Product Label.  ",VDss calculated from C vs t data provided in the reference.,,1983,358.45,7,4,129.7,11,anionic,-0.068,-4.6
Cimetropium,150521-16-7,C[N+]1([C@@H]2C[C@H](C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)c4ccccc4)CC5CC5,1.12,25.0,,0.74,0.83,"B. P. IMBIMBO, S. DANIOTTI, A. VIDI, D. FOSCHI, F . SAPORITI,  L. FERRANTE. Discontinuous Oral Absorption of Cimetropium Bromide, a New Antispasmodic Drug. J. Pharm. Sci. 1986, 75, 680-684. ","N=8, 10 mg dose. Clearance reported in table III. MRT calculated from AUC and AUMC in turn calculated from A, B, α and β. VDss obtained from MRT and clearance. T1/2 reported.",46% excreted unchanged in urine.,1973,358.45,5,1,59.1,7,neutral,-2.8,-2.8
Etoricoxib,202409-33-4,Cc1ccc(cn1)c2ncc(Cl)cc2c3ccc(cc3)S(=O)(=O)C,1.5,0.79,0.081,32.0,26.0,"Rodrigues AD, Halpin RA, Geer LA, Cui D, Woolf EJ, Matthews CZ, Gottesdiener KM, Larson PJ, Lasseter KC, and Agrawal NGB (2003) Absorption, metabolism, and excretion of etoricoxib, a potent and selective cyclooxygenase-2 inhibitor, in healthy male volunteers.    Drug Metab. Dispos. 31: 224-232.  Agrawal NGB, Rose MJ, Matthews CZ, Woolf EJ, Porras AG, Geer LA, Larson PJ, Cote J, Dilzer SC,  Lasseter KC, Alam I, Petty KJ, and Gottesdiener KM (2003) Pharmacokinetics of etoricoxib in patients with hepatic impairment.  J. Clin. Pharmacol. 43: 1136-1148.",,,1998,358.84,4,0,59.9,3,neutral,3.5,3.5
Grepafloxacin,119914-60-2,c1(c(c2c(c(F)c(cc2n(c1)C1CC1)N1C[C@@H](C)NCC1)C)=O)C(=O)O,,5.9,0.82,,9.2,"PP. Grepafloxacin Hydrochloride - FDA Approval Package Review 020695
ppb: Clinical Pharmacology and Biopharmaceutics . Determination of protein binding of gyrase inhibitors by means of continuous ultrafiltration G Zlotosa, M Oehlmannb, P Nickelb, U Holzgrabe. Journal of Pharmaceutical and Biomedical Analysis, 1998, 18,  847–858","N=5/dose, 100 and 200 mg iv dose. No VDss reported. ",,1988,359.39,6,2,74.6,3,zwitterionic,2.8,-0.015
Rabeprazole,117976-89-3,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,0.22,4.0,0.0369999999999999,0.92,1.0,"Setoyama T, Laurent A, Humphries T, and Hasegawa J (2005) Pharmacokinetics of rabeprazole following single intravenous and oral administration to healthy subjects.  Int. J. Clin. Pharmacol. Ther. 43:  37-42.",Pharmacokinetic parameters were calculated from C vs t data obtained by digitization of the plot provided in the reference.,,1988,359.44,6,1,77.1,8,neutral,2.1,2.1
Maxipost,187523-35-9,COc1ccc(Cl)cc1[C@]2(F)C(=O)Nc3cc(ccc23)C(F)(F)F,10.0,15.0,0.0038,11.0,37.0,"Zhang D, Krishna R, Wang L, Zeng J, Mitroka J, Dai R, Narasimhan N, Reeves RA, Srinivas NR, and Klunk LJ (2005) Metabolism, pharmacokinetics, and protein covalent binding of radiolabeled maxipost (BMS-204352) in humans.  Drug Metab. Dispos. 33: 83-93.  Krishna R, Yao M, Kaczor D, Vachharajani N, and Srinivas NR. (2001) In vitro protein binding studies with BMS-204352: lack of protein binding displacement interaction in human serum.  Biopharm. Drug Dispos. 22: 41-44.",Flindokalner. BMS-204352,,1997,359.7,3,1,38.3,2,anionic,4.1,2.5
Nitrendipine,39562-70-4,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)N(=O)=O)C(=O)OC)C,6.1,25.0,0.02,4.1,8.2,"Mikus G, Fischer C, Heuer B, Langen C, and Eichelbaum M (1987) Application of stable isotope methodology to study the pharmacokinetics, bioavailability, and metabolism of nitrendipine after i.v. and p.o. administration.  Br. J. Clin. Pharmacol. 24: 561-569.  Soons PA, DeBoer AG, Van Brummelen P, and Breimer DD (1989) Oral absorption ptrofile of nitrendipine in healthy subjects: a kinetic and dynamic study.  Br. J. Clin. Pharmacol. 27: 179-189.  Ramsch KD, Graefe KH, Scherline D, Sommer J, and Ziegler R (1986) Pharmacokinetics and metabolism of calcium-blocking agents nifedipine, nitrendipine, and nimodipine.  Am. J. Nephrol. 6(Suppl 1): 73-80.  ",,,1972,360.36,8,1,110.4,7,neutral,3.0,3.0
WCK771,154357-42-3,C[C@H]1CCc2c3n1cc(c(=O)c3cc(c2N4CCC(CC4)O)F)C(=O)O,0.25,0.54,,7.87,6.04,"R.D. Yeole , V.L. Kulkarni, S.B. Latad, R.P. Chavan, Y. Chugh, M.V. Patel, H.F. Khorakiwala. Simple liquid chromatography–tandem mass spectrometry method for determination of novel anti-methicillin-resistant Staphylococcus aureus fluoroquinolone WCK 771 in human serum. J Chromatog. B, 2007, 846 , 306–312.","Levonadifloxacin. S-(-)-nadifloxacin. Data digitized from plot reported. N=6, 600 mg iv infusion. 70 kg average weight assumed. Dosed as arginine salt tetrahydrate. CAS # 306748-89-0. Assumed the dose of parent was NOT corrected for equivalence to 600 mg of salt. No mention of the correction was made and the drug was described as the tetrahydrate salt. (MW tetrahydrate salt = 606.64; free base = 360.38. A dose of 356.43 mg was then used.",,1993,360.38,6,2,82.8,2,anionic,3.0,1.6
Carbazeran,70724-25-3,c1(c(OC)cc2c(c1)c(nnc2)N1CCC(CC1)OC(NCC)=O)OC,0.67,37.6,0.08,0.25,0.25,"Kaye B, Offerman JL, Reid JL, Elliott HL, Hillis WS. A species difference in the presystemic metabolism of carbazeran in dog and man. Xenobiot. 1984, 14, 935-945,// ppb: Zientek M, Jiang Y, Youdim, K, and Obach RS (2010) In vitro-in vivo correlation for intrinsic clearance for drugs metabolized by human aldehyde oxidase.  Drug Metab. Dispos. 38: 1322-1327.",VDss calculated from mean C vs t data in the paper,,1978,360.41,8,1,85.8,6,neutral,2.3,2.3
Prednisolone,50-24-8,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,0.86,2.9,0.25,4.8,3.4,"Rose JQ, Yurchak AM, Meikle AW, and Jusko WJ (1981) Effect of smoking on prednisone, prednisolone, and dexamethasone pharmacokinetics.  J. Pharmacokinet. Biopharm. 9: 1-14.",Note: prednisolone demonstrates complex dose-dependent PK (Frey BM and Fey FJ (1990) Clinical pharmacokinetics of prednisone and prednisolone.  Clin. Pharmacokinet. 19: 126-146.,,1953,360.44,5,3,94.8,2,neutral,1.7,1.6
Iloprost,78919-13-8,CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(=C/CCCC(=O)O)\C[C@H]12,0.37,16.0,0.4,0.39,0.57,Krause W and Krais T (1986) Pharmacokinetics and pharmacodynamics of the prostacyclin analogue iloproset in man.  Eur. J. Clin. Pharmacol. 30: 61-68.  Hildebrand M (1997) Pharmacokinetics and tolerablity of oral iloprost in thromboangitis obliterans patients.  Eur. J. Clin. Pharmacol. 53: 51-56.  Ventavis Product Label.,VDss calculated from digitized plots.  VDss and CL data are the average of the two reports; t1/2 data are only from Hildebrandt. ,,1981,360.49,4,3,77.8,9,anionic,3.5,0.96
Ixazomib,1072833-77-2,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,3.61,0.5,0.01,119.0,97.0,"Assouline S E; Chang J; Cheson B D; Rifkin R; Hamburg S; Reyes R; Hui A-M; Yu J; Gupta N; Di Bacco A; Shou Y; Martin P.  Phase 1 dose-​escalation study of IV ixazomib, an investigational proteasome inhibitor, in patients with relapsed​/refractory lymphoma. Blood Cancer Journal (2014) 4, e251; doi:10.1038/bcj.2014.71//ppb: Gupta, Neeraj; Hanley, Michael J.; Harvey, R. Donald; Badros, Ashraf; Lipe, Brea; Kukreti, Vishal; Berdeja, Jesus; Yang, Huyuan; Hui, Ai-Min; Qian, Mark; Zhang, Xiaoquan; Venkatakrishnan, Karthik; Chari, Ajai. A pharmacokinetics and safety phase 1​/1b study of oral ixazomib in patients with multiple myeloma and severe renal impairment or end-​stage renal disease requiring haemodialysis. Brit. J.  Haem., 2016, 174, 748-759.","MLN 2238. Data digitized from curve in Figure 1a. N=5, 3.11 mg/m2 dose. Only AUC 0-168h reported (1680 ng.hr/mL and calculated value was 1886 ng.hr/mL, corresponding to a ratio calculated/reported of 1.12). Cearance calculated with AUCinf (2547 ng.hr/mL or 25% extrapolation) and t1/2 essentially identical to reported value for Day 14 dosing. 2-fold accumulation observed.",,2008,361.03,6,4,98.7,7,neutral,2.2,2.2
Toxogonin,114-90-9,C1=C[N+](=CC=C1C=NO)COC[N+]2=CC=C(C=C2)C=NO.[Cl-].[Cl-],0.17,1.9,,1.5,1.2,"Toxogonin and Pralidoxime: Kinetic Comparison after Intravenous Administration to Man FREDERICK R. SIDELL’, WILLIAM A. GROFF, and ANDRIS KAMINSKIS. J. Pharm. Sci. 1972, 61, 1765-1769.","Obidoxime. CAS number refers to chloride salt. Parent CAS # 7683-36-5. N=5, 0.5 and 1.0 mg/kg, average weight 69 kg. MRT from VDss and clearance.",,1963,361.22,7,2,82.2,6,neutral,-9.0,-9.0
Levofloxacin,100986-85-4,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,1.2,1.9,0.75,11.0,8.8,"Furlanut M, Brollo L, Lugatti E, Di Qual E, Dolcet F, Talmassons G, and Pea F (2003) Pharmacokinetic aspects of levofloxacin 500mg once daily during sequential intravenous/oral therapy in patients with lower respiratory tract infections.  J. Antimic. Chemother. 51: 101-106.  Bergogne-Berezin E (2002) Clinical role of protein binding of quinolones. Clin. Pharmacokinet. 41: 741-750.",,,1991,361.37,7,1,73.3,2,zwitterionic,1.9,-0.4
Ofloxacin,82419-36-1,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,1.6,2.5,0.75,11.0,8.9,"Gascon AR, Campo, E, Hernandez RM, Calvo B, Errasti J, and Pedraz JL (1998) Pharmacokinetics and tissue distribution of intravenous ofloxacin for antibiotic prophylaxis in biliary surgery.  Clin. Drug Invest. 15: 491-496.  Bergogne-Berezin E (2002) Clinical role of protein binding of quinolones.  Clin. Pharmacokinet. 41: 741-750.",,,1982,361.37,7,1,73.3,2,zwitterionic,1.9,-0.4
852A,532959-63-0,[H]N([H])c1c2c(c3ccccc3n1)n(CCCCN([H])S(C)(=O)=O)c(CC)n2,3.1,7.7,,4.7,7.1,"Harrison LI, Astry C, Kumar S, et al. Pharmacokinetics of 852A, an imidazoquinoline Toll-like receptor 7-specific agonist, following intravenous, subcutaneous, and oral administrations in humans. J Clin Pharmacol. 2007;47:962–969","Data digitized from plot in figure 2. All calculations almost identical to respective value reported. N = 6, 70 kg average weight assumed,  2 mg dose. 10'' bolus. VDss = 3.1 L/kg, Cl = 7.7 mL/min/kg, MRT = 4.7 h, t1/2 = 7.1 h. Compound also reported as 3M-001",,2003,361.46,7,2,102.9,8,cationic,2.3,1.8
Fosphenytoin,93390-81-9,C1(c2ccccc2)(c2ccccc2)C(=O)N(C(=O)N1)COP(=O)(O)O,0.06,3.5,0.05,0.17,0.16,"Aweeka, Francesca T.; Gottwald, Mildred D.; Gambertoglio, John G.; Wright, Teresa L.; Boyer, Thomas D.; Pollock, Alan S.; Eldon, Michael A.; Kugler, Alan R.; Alldredge, Brian K. Pharmacokinetics of fosphenytoin in patients with hepatic or renal disease. Epilepsia (1999), 40(6), 777-782.  ",Dosed and monitored as phosphenytoin. Healthy subjects only. 0.37 g in 30' infusion.,"Aweeka, Francesca T.; Gottwald, Mildred D.; Gambertoglio, John G.; Wright, Teresa L.; Boyer, Thomas D.; Pollock, Alan S.; Eldon, Michael A.; Kugler, Alan R.; Alldredge, Brian K. Pharmacokinetics of fosphenytoin in patients with hepatic or renal disease. Epilepsia (1999), 40(6), 777-782.  ",1984,362.27,8,3,116.2,5,anionic,1.7,-3.3
Piretanide,55837-27-9,NS(=O)(=O)c1cc(cc(N2CCCC2)c1Oc3ccccc3)C(=O)O,0.17,3.1,0.058,0.91,1.3,"Trenk D, Wagner F, Jaehnchen E, Spahn H, and Mutschler E (1987) Pharmacokinetics and bioavailability of piretanide in healthy volunteers following intramuscular administration. Arz.Forsch. 37: 1382-1385.  Elliott HL, Ansari AF, Campbell BC, and Lawrence JR (1982) Protein binding of piretanide in normal and uremic serum.  Eur. J. Clin. Pharmacol. 21: 311-313. ",,,1975,362.4,7,2,109.9,5,anionic,2.8,0.078
Hydrocortisone,50-23-7,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,0.38,5.7,0.2,1.9,1.6,"Derendorf H, Moellmann H, Barth J, Mollman C, Tunn S, and Krieg M (1991) Pharmacokinetics and oral bioavailability of hydrocortisone.    J. Clin. Pharmacol. 31: 473-476.   Toothaker RD and Welling PG (1982) Effect of dose size on the pharmacokinetics of intravenous hydrocortisone during endogenous hydrocortisone suppression.  J. Pharmacokinet. Biopharm. 10: 147-156.  Mager DE and Jusko WJ (2002) Quantitative structure pharmacokinetic/pharmacodynamic relationships of corticosteroids in man.  J. Pharm. Sci. 91: 2441-2451.",,,1946,362.46,5,3,94.8,2,neutral,1.5,1.5
Solifenacin,242478-37-1,O=C(O[C@H]1CN2CCC1CC2)N3CCc4ccccc4[C@@H]3c5ccccc5,8.2,2.1,0.02,65.0,52.0,"Kuipers ME, Krauwinkel WJJ, Mulder H, and Visser N (2004) Solifenacin demonstrates high absolute bioavailability in healthy men.  Drugs R D 5: 73-81.  Krauwinkel WJJ, Smulders RA, Mulder H, Swart PJ, and Taekema-Roelvink MEJ (2005) Effect of age on the pharmacokinetics of solifenacin in men and women.  Int. J. Clin. Pharmacol. Ther. 43: 227-238. ppb from second ref.",YM-905,,2000,362.46,4,0,32.8,3,cationic,4.4,3.3
"Aminocamptothecin, 9-",91421-43-1,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(N)cccc5nc34)C2=O,2.2,6.5,0.003,5.6,7.0,"Herben VM, van Gijn R, Schellens JH, Schot M, Lieverst J, Hillebrand MJ, Schoemaker NE, Porro MG, Beijnen JH, and ten Bokkel Huinink WW (1999)  Phase I and pharmacokinetic study of a daily times 5 short intravenous infusion schedule of 9-aminocamptothecin in a colloidal dispersion formulation in patients with advanced solid tumors.  J. Clin. Oncol.17: 1906-1914.  Masubuchi N, May RD, and Atsumi R (2004)  A predictive model of human myelotoxicity using five camptothecin derivatives and the in vitro colony-forming unit granulocyte/macrophage assay.  Clin. Cancer Res. 10: 6722-6731.",,,1984,363.37,7,2,105.8,1,neutral,1.1,1.1
Cefadroxil,50370-12-2,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(=O)O,0.23,2.5,0.39,1.5,1.1,"Marino EL, Dominguez-Gil A, and Muriel C (1982) Influence of dosage form and administration route on the pharmacokinetic parameters of cefadroxil.  Int. J. Clin. Pharmacol. Ther. Toxicol. 20: 73-77.   Aratani H, Kono S, Tateishi H, Negita S, and Yamanaka Y (1980) Pharmacological studies on cefadroxil.  II.  Pharmacokinetics.  Chemotherapy 28(Suppl. 2): 75-82. ",,,1973,363.39,8,4,133.0,4,zwitterionic,-0.7,-2.1
YM155,781661-94-7,c1(n(c2c(C(=O)c3ccccc3C2=O)[n+]1Cc1cnccn1)CCOC)C,23.7,11.3,,34.5,24.8,"Phase I and Pharmacokinetic Study of YM155, a Small-Molecule Inhibitor of Survivin. Anthony W. Tolcher, Alain Mita, Lionel D. Lewis, Christopher R. Garrett, Elizabeth Till, Adil I. Daud, Amita Patnaik, Kyri Papadopoulos, Chris Takimoto, Pamela Bartels, Anne Keating, and Scott Antonia. J. Cin. Onc. 2008, 26, 5198-5203.",Sepantronium bromide. 3.6 (N=7) and 4.8 mg/m2 (N=25). Weighted average from data reported on Table 4. T1/2 questionable. 168 hr infusion. Quaternary ammonium salt. Bromide counter-ion omitted from smiles.,,2001,363.39,7,0,78.0,5,neutral,-1.2,-1.2
Carocainide,66203-00-7,C1CCN(C1)CCOc1c(OC)c2occc2c(c1NC(NC)=O)OC,0.8,3.2,,4.2,5.0,"Rovei V, Strolin Benedetti M, Daniel C, Moulin A, Donath A. Pharmacokinetics and metabolism of the antiarrhythmic carocainide in man. Xenobiot. 1985, 15, 953-964.","Data digitized from plot reported. Within range reported but not in close agreement with mean AUC. 100 mg, N=6, median weight 65 kg. ppb saturable as reported in the work cited.",,1978,363.41,8,2,85.5,7,cationic,1.4,0.3
Libenzapril,109214-55-3,C([C@@H](N[C@H]1CCc2c(cccc2)N(CC(O)=O)C1=O)CCCCN)(O)=O,1.98,1.23,,29.3,,"Gregory M. Kochak, PhD, R. Leslie Choi, PhD, Jacqueline K. deSilva, MD, and P. Reydel-Bax, BS. Pharmacodynamic Dependent Disposition of the Angiotensin Converting Enzyme Inhibitor, Libenzapril.J. ClIn Pharmacol 1990;30:138-143","Doses of 1.7 and 4 mg. N=12 73.1 kg average weight. Non linear behavior for MRT and VDss at 12 mg dose, but clearance stable. Data at 1.7 and 4 mg weight-averaged (N=4 and 8, respectively). T1/2 not reported.",,1985,363.41,8,4,133.0,9,anionic,0.21,-2.4
Talinolol,57460-41-0,CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,3.3,4.9,0.39,11.0,11.0,"Trausch B, Oertel R, Richter K, and Gramatte T (1995) Disposition and bioavailability of the beta1-adrenoreceptor antagonist talinolol in man.  Biopharm. Drug Dispos. 16: 403-414.  Trausch B, Oertel R, Richter K, and Gramatte T (1995) Die proteinbindung von talinolol.  Pharmazie   50: 72.",,,1972,363.49,6,4,82.6,7,cationic,3.3,1.4
"Hydroxycamptothecin, 10-",19685-09-7,CC[C@@]1(c2cc-3n(c(=O)c2COC1=O)Cc4c3nc5ccc(cc5c4)O)O,0.22,2.23,,1.63,1.67,"LI Su, ZHANG Li, GUANG Zhong-zhen, ZHAN Jing, LI Yu-yan , JIANG Wen-qi. Absolute bioavailability of hydroxycamptothecin tablets in cancer patients. Chin. J. Clin. Pharmacol. 2005, 22, 46-49.(written in Chinese) ","N=8, 12 mg.m-2 dose, conversion factor 1.73m2/70kg, 30 minutes infusion. Data digitized and PK parameters calculated via PKSolver. AUC reported as 2171 ug.h.L-1 (not specified); AUS (inf) calculated as 2211 ng.h.mL-1. 2% difference.",,1969,364.35,7,2,101.6,1,neutral,1.4,1.4
