ID;Canonical_Smiles;hlm_clearance[mL.min-1.g-1];rlm_clearance[mL.min-1.g-1];mlm_clearance[mL.min-1.g-1];caco2_PAPP[10^-7cm/s];Set_hlm;Set_rlm;Set_mlm;Set_caco
CHEMBL1078014;CCCCC1CN(CC2CCOCC2)C(=O)OC13CCN(CC3)C4CCN(CC4)C(=O)c5c(C)cccc5C;164;;;;Ext;;;
CHEMBL1077779;CCCCC1N(CC2CCCCC2)C(=O)OC13CCN(CC3)C4(C)CCN(CC4)C(=O)c5c(C)cccc5C;526;;;;Train;;;
CHEMBL1078753;CCCCC1CN(CC2CCCCC2)C(=O)OC13CCN(CC3)C4CCN(CC4)C(=O)c5c(C)cccc5C;307;;;;Train;;;
CHEMBL1081687;Cc1ncccc1c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(F)(F)F)n2C;1,7;;;;Train;;;
CHEMBL1080293;Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccc(cc6)C(F)(F)F)n3C;1,1;;;;Ext;;;
CHEMBL1081867;Cn1c(SCCCN2C[C@@H]3C[C@@]3(C2)c4ccc(cc4)C(F)(F)F)nnc1c5ccnnc5;1,7;;;;Train;;;
CHEMBL1092573;C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccccc2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(F)cc4F)C5CCOCC5;151;;;;Train;;;
CHEMBL1091631;CC(C)N1C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3C[C@@H](C)[C@@](O)([C@@H](C)C3)c4ccccc4;128;;;;Ext;;;
CHEMBL1089461;C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccccn2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(F)cc4F)c5cccnn5;440;;;;Train;;;
CHEMBL1089892;CC(C)N1C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3C[C@@H](C)[C@@](O)([C@@H](C)C3)c4ccc(F)c(F)c4;28;;;;Test;;;
CHEMBL1092211;C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccc(F)c(F)c2)C(=O)[C@@H]3CNC[C@H]3c4ccc(F)cc4F;7;;;;Train;;;
CHEMBL1090885;CCN1C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3C[C@@H](C)[C@@](O)([C@@H](C)C3)c4cccc(F)c4;73;;;;Train;;;
CHEMBL1091632;CC(C)N1C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3C[C@@H](C)[C@@](O)([C@@H](C)C3)c4ccc(Cl)cc4;34;;;;Train;;;
CHEMBL1091150;C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccc(Cl)cc2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C(C)(C)C;16;;;;Test;;;
CHEMBL1092572;COCCN1C[C@@H]([C@H](C1)c2ccc(F)cc2F)C(=O)N3C[C@@H](C)[C@@](O)([C@@H](C)C3)c4ccccc4;84;;;;Train;;;
CHEMBL1204070;CC(C)N1C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3C[C@@H](C)[C@@](O)([C@@H](C)C3)c4cccc(F)c4;70;;;;Train;;;
CHEMBL1204062;C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccc(cc2)C(F)(F)F)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C(C)(C)C;7;;;;Train;;;
CHEMBL1092210;C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccc(F)cc2)C(=O)[C@@H]3CNC[C@H]3c4ccc(F)cc4F;13;;;;Train;;;
CHEMBL1093855;C[C@@H]1CN(C[C@H](C)[C@@]1(O)C2CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C(C)(C)C;14;;;;Test;;;
CHEMBL1092860;C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccccc2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(F)cc4F)c5cccnn5;243;;;;Train;;;
CHEMBL1092548;C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2cccc(F)c2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C(C)(C)C;52;;;;Train;;;
CHEMBL1204053;C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccc(F)cc2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(F)cc4F)c5cccnn5;310;;;;Train;;;
CHEMBL1204057;C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccc(F)c(F)c2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C(C)(C)C;22;;;;Train;;;
CHEMBL1089797;C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccccc2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(F)cc4F)C5CC5;342;;;;Train;;;
CHEMBL1204059;C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccccc2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C(C)(C)C;45;;;;Train;;;
CHEMBL1204054;CCC[C@@]1(O)[C@H](C)CN(C[C@@H]1C)C(=O)[C@H]2CN(C[C@@H]2c3ccc(F)cc3F)c4cccnn4;440;;;;Test;;;
CHEMBL1204061;C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccc(F)cc2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C(C)(C)C;28;;;;Train;;;
CHEMBL1096889;CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(NCC(c4ccccc4)c5ccccc5)nc(nc23)C(=O)NCCNC(=O)NCCN(C(C)C)C(C)C;81;;;;Train;;;
CHEMBL1096896;CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(NCC(c4ccccc4)c5ccccc5)nc(nc23)C(=O)NCCNC(=O)NC6CCN(CC6)c7ccccn7;255;;;;Train;;;
CHEMBL1096102;Cc1cccc(Cl)c1C(=O)N2C[C@@H]3CN(CC[C@H](NC(=O)C4CCCC4)c5ccccc5)C[C@@H]3C2;264;;;;Train;;;
CHEMBL1097515;Clc1cccc(Cl)c1C(=O)N2C[C@@H]3CN(CC[C@H](NC(=O)C4CCCC4)c5ccccc5)C[C@@H]3C2;389;;;;Train;;;
CHEMBL1098664;Cc1ncnc(C)c1C(=O)N2C[C@H]3CN(CC[C@H](NC(=O)CC4CC(F)(F)C4)c5cc(F)cc(F)c5)C[C@H]3C2;45;;;;Train;;;
CHEMBL1085221;CNC(=O)N1CCC(CN2C[C@H](N(C3CCN(CC3)C4(C)CCN(CC4)C(=O)c5c(C)ncnc5C)C2=O)c6ccccc6)CC1;13;;;;Train;;;
CHEMBL1085223;CCO[C@@H]1CC[C@@H](CN2C[C@H](N(C3CCN(CC3)C4(C)CCN(CC4)C(=O)c5c(C)ncnc5C)C2=O)c6ccccc6)CC1;47;;;;Train;;;
CHEMBL1085228;Cc1ncnc(C)c1C(=O)N2CCC(C)(CC2)N3CCC(CC3)N4C(CN(CC5CCOCC5)C4=O)c6ccccc6;31;;;;Train;;;
CHEMBL1085219;COC(=O)N1CCC(CN2C[C@H](N(C3CCN(CC3)C4(C)CCN(CC4)C(=O)c5c(C)ncnc5C)C2=O)c6ccccc6)CC1;155;;;;Test;;;
CHEMBL1085224;Cc1ncnc(C)c1C(=O)N2CCC(C)(CC2)N3CCC(CC3)N4[C@@H](CN(C[C@@H]5CC[C@@H](O)CC5)C4=O)c6ccccc6;12;;;;Train;;;
CHEMBL1083126;CN1C[C@H](N(C2CCN(CC2)C3(C)CCN(CC3)C(=O)c4c(C)cc(nc4C)C#N)C1=O)c5ccccc5;44;;;;Train;;;
CHEMBL1085220;Cc1ncnc(C)c1C(=O)N2CCC(C)(CC2)N3CCC(CC3)N4[C@@H](CN(CC5CCN(CC5)S(=O)(=O)C)C4=O)c6ccccc6;224;;;;Train;;;
CHEMBL1085232;Cc1cc(nc(C)c1C(=O)N2CCC(C)(CC2)N3CCC(CC3)N4[C@@H](CN(C[C@@H]5CC[C@@H](O)CC5)C4=O)c6ccccc6)C#N;34;;;;Train;;;
CHEMBL1085225;Cc1cc(nc(C)c1C(=O)N2CCC(C)(CC2)N3CCC(CC3)N4[C@@H](CN(CC5CCOCC5)C4=O)c6ccccc6)C#N;57;;;;Train;;;
CHEMBL1085226;Cc1ncnc(C)c1C(=O)N2CCC(C)(CC2)N3CCC(CC3)N4[C@@H](CN(CCC5CCOCC5)C4=O)c6ccccc6;96;;;;Train;;;
CHEMBL1085722;CCO[C@@H]1CC[C@@H](CN2C[C@@H](N(C3CCN(CC3)C4(C)CCN(CC4)C(=O)c5c(C)cc(nc5C)C#N)C2=O)c6ccccn6)CC1;40;;;;Train;;;
CHEMBL1085231;Cc1cc(nc(C)c1C(=O)N2CCC(C)(CC2)N3CCC(CC3)N4[C@@H](CN(C5CCOCC5)C4=O)c6ccccc6)C#N;15;;;;Ext;;;
CHEMBL1085222;CO[C@@H]1CC[C@@H](CN2C[C@H](N(C3CCN(CC3)C4(C)CCN(CC4)C(=O)c5c(C)ncnc5C)C2=O)c6ccccc6)CC1;69;;;;Train;;;
CHEMBL1085217;CNC(=O)N1CCC(CN2C[C@H](N(C3CCN(CC3)C4(C)CCN(CC4)C(=O)c5c(C)cc(nc5C)C#N)C2=O)c6ccccc6)CC1;53;;;;Ext;;;
CHEMBL1085723;CCCCC1CN(C2CCOCC2)C(=O)N1C3CCN(CC3)C4(C)CCN(CC4)C(=O)c5c(C)cc(nc5C)C#N;20;;;;Test;;;
CHEMBL1085721;Cc1cc(nc(C)c1C(=O)N2CCC(C)(CC2)N3CCC(CC3)N4[C@H](CN(CC5CCOCC5)C4=O)c6ccccn6)C#N;18;;;;Train;;;
CHEMBL1085218;Cc1ncnc(C)c1C(=O)N2CCC(C)(CC2)N3CCC(CC3)N4[C@@H](CN(C5CCOCC5)C4=O)c6ccccc6;8;;;;Train;;;
CHEMBL1082487;CCCCC1CN(C2CCOCC2)C(=O)N1C3CCN(CC3)C4(C)CCN(CC4)C(=O)c5c(C)ncnc5C;9;;;;Ext;;;
CHEMBL1085229;Cc1ncnc(C)c1C(=O)N2CCC(C)(CC2)N3CCC(CC3)N4[C@@H](CN(CC5CCOCC5)C4=O)c6ccccc6;16;;;;Test;;;
CHEMBL1083437;CCCCC1CN(CC2CCOCC2)C(=O)N1C3CCN(CC3)C4(C)CCN(CC4)C(=O)c5c(C)ncnc5C;36;;;;Train;;;
CHEMBL1083356;CCc1cn(CC(=O)N)c(CC)c1Oc2ccc(cc2)C#N;10;;;;Test;;;
CHEMBL1084770;CCc1cn(CCO)c(CC)c1Oc2ccc(cc2)C#N;25;;;;Ext;;;
CHEMBL1083361;CCc1cn(CS(=O)(=O)C)c(CC)c1Oc2ccc(cc2)C#N;60;;;;Test;;;
CHEMBL1082388;O=C(NC1(CC1)c2ccccc2)c3ccc(CN(Cc4ccccn4)S(=O)(=O)c5ccc(cc5)C#N)cc3;435;;;;Train;;;
CHEMBL1084506;Clc1ccc(cc1)S(=O)(=O)N(Cc2ccc(cc2)C(=O)NCc3cccc(Cl)c3)Cc4ccccn4;583;;;;Train;;;
CHEMBL1085508;COc1ccc(cc1)S(=O)(=O)N(Cc2ccc(c(F)c2)c3nn[nH]n3)Cc4ccccn4;109;;;;Test;;;
CHEMBL1082641;Clc1ccc(cc1)S(=O)(=O)N(Cc2ccc(cc2)c3nn[nH]n3)Cc4ccccn4;10;;;;Train;;;
CHEMBL1082360;Fc1ccccc1CN(Cc2ccc(c(F)c2)c3nn[nH]n3)S(=O)(=O)c4ccc(Cl)cc4;10;;;;Train;;;
CHEMBL1085740;Clc1ccc(cc1)S(=O)(=O)N(Cc2ccccc2)Cc3ccc(cc3)C(=O)NC4(CC4)c5ccccc5;211;;;;Train;;;
CHEMBL1086280;Clc1ccc(cc1)S(=O)(=O)N(Cc2ccc(Cc3ccccc3)cc2)Cc4ccccn4;10;;;;Train;;;
CHEMBL1083335;Clc1ccc(cc1)S(=O)(=O)N(Cc2ccc(cc2)C(=O)NC3(CC3)c4ccccc4)Cc5ccccn5;257;;;;Train;;;
CHEMBL1085327;[O-][N+](=O)c1cccc(Cc2ccc(CN(Cc3ccccn3)S(=O)(=O)c4ccc(Cl)cc4)cc2)c1;27;;;;Train;;;
CHEMBL1083928;Clc1ccc(cc1)S(=O)(=O)N(Cc2ccccc2)Cc3ccc(cc3)C(=O)NC[C@@H]4CCCO4;490;;;;Test;;;
CHEMBL1082389;OC(=O)c1ccc(CN(Cc2ccccc2)S(=O)(=O)c3ccc(Cl)cc3)cc1;10;;;;Test;;;
CHEMBL1086236;Clc1ccc(cc1)S(=O)(=O)N(Cc2ccc(cc2)C(=O)NCC3CC3)Cc4ccccn4;265;;;;Train;;;
CHEMBL1163720;CS(=O)(=O)c1cccc(c1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;11,4;;;;Train;;;
CHEMBL1165720;CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4cc(F)ccc4F;4;;;;Train;;;
CHEMBL1163538;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(cc3)c4ccccc4;4,93;;;;Train;;;
CHEMBL1164649;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(OC(F)(F)F)cc3;17,9;;;;Train;;;
CHEMBL1163197;CCN(C1CCN(CCC(C2CCN(Cc3cccnc3)CC2)c4ccccc4)CC1)C(=O)NCc5ccc(cc5)S(=O)(=O)C;150;;;;Test;;;
CHEMBL1164072;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3cccc(F)c3F;18;;;;Train;;;
CHEMBL180184;CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4ccccc4;4;;;;Test;;;
CHEMBL1163966;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(cc3)N4CCOCC4;15,2;;;;Train;;;
CHEMBL1163814;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(cc3)C(F)(F)F;15,5;;;;Train;;;
CHEMBL1163811;CN(C)c1cccc(c1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;53,5;;;;Train;;;
CHEMBL1163965;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccccc3F;46,5;;;;Train;;;
CHEMBL1164556;Cc1ccc(cc1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;41,8;;;;Test;;;
CHEMBL1163764;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccccc3;23;;;;Train;;;
CHEMBL1163803;CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4c(F)cccc4F;6;;;;Train;;;
CHEMBL1163524;NS(=O)(=O)c1cccc(c1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;13;;;;Train;;;
CHEMBL1164745;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3cccc(OC(F)(F)F)c3;31,8;;;;Train;;;
CHEMBL1163877;COc1ccc(C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3)c(OC)c1;15,8;;;;Ext;;;
CHEMBL1163685;COc1ccccc1C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;14,3;;;;Train;;;
CHEMBL1164911;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(F)cc3Cl;18;;;;Train;;;
CHEMBL1163680;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3cc(F)cc(F)c3;25,3;;;;Train;;;
CHEMBL1164473;CC(=O)c1ccc(cc1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;19,8;;;;Train;;;
CHEMBL1164482;CCN(C1CCN(CCC(C2CCN(Cc3ccc4ccccc4n3)CC2)c5ccccc5)CC1)C(=O)NCc6ccc(cc6)S(=O)(=O)C;150;;;;Train;;;
CHEMBL1163536;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3cccc(c3)C(F)(F)F;13,7;;;;Train;;;
CHEMBL1163672;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3cccc(Cl)c3;22,2;;;;Train;;;
CHEMBL1163721;COc1cccc(c1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;12,9;;;;Train;;;
CHEMBL1165469;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(F)c(F)c3;12,5;;;;Train;;;
CHEMBL1163768;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3cccc(Br)c3;19,3;;;;Train;;;
CHEMBL1163492;CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4ccc(F)cc4;105;;;;Train;;;
CHEMBL1164555;CS(=O)(=O)Nc1cccc(c1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;9,23;;;;Train;;;
CHEMBL1163767;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccccc3OC(F)(F)F;16,9;;;;Ext;;;
CHEMBL1163155;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3cccc(F)c3;31,9;;;;Test;;;
CHEMBL1165632;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(cc3)C#N;11,7;;;;Train;;;
CHEMBL1163569;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(Cl)cc3Cl;41,2;;;;Train;;;
CHEMBL1164246;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(Cl)c(c3)C(F)(F)F;11,5;;;;Train;;;
CHEMBL1165719;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(Br)cc3;22,7;;;;Train;;;
CHEMBL1163185;CCN(C1CCN(CCC(C2CCN(Cc3cccnc3)CC2)c4ccc(F)cc4)CC1)C(=O)NCc5ccc(cc5)S(=O)(=O)C;5;;;;Train;;;
CHEMBL1164071;COc1cccc(C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3)c1OC;14,9;;;;Test;;;
CHEMBL1163878;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3cccc(c3)C#N;14,5;;;;Train;;;
CHEMBL1164651;CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4cc(F)cc(F)c4;3;;;;Train;;;
CHEMBL1164371;NS(=O)(=O)c1ccc(cc1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;12,3;;;;Train;;;
CHEMBL1164374;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(F)cc3;17,1;;;;Train;;;
CHEMBL1163496;CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4ccccc4F;74;;;;Train;;;
CHEMBL1164653;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(Cl)cc3;18,6;;;;Test;;;
CHEMBL1163741;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccccc3Cl;32,6;;;;Train;;;
CHEMBL1164652;CC(C)n1c(C)ncc1c2ccnc(Nc3ccccc3)n2;63,5;;;;Test;;;
CHEMBL1163186;CCN(C1CCN(CCC(C2CCN(Cc3ccc4ccccc4n3)CC2)c5ccc(F)cc5)CC1)C(=O)NCc6ccc(cc6)S(=O)(=O)C;3;;;;Train;;;
CHEMBL1165640;[O-][N+](=O)c1cccc(c1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;5,3;;;;Ext;;;
CHEMBL1164648;Cc1ccccc1C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;23,5;;;;Test;;;
CHEMBL1165677;[O-][N+](=O)c1ccc(cc1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;9;;;;Train;;;
CHEMBL1165588;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccccc3C#N;28,4;;;;Train;;;
CHEMBL1164070;Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;43,6;;;;Train;;;
CHEMBL1163740;Nc1ccccc1C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;15,6;;;;Train;;;
CHEMBL1163494;CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4cccc(F)c4;86;;;;Ext;;;
CHEMBL1164647;CS(=O)(=O)c1ccc(cc1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;12,4;;;;Ext;;;
CHEMBL1163879;COc1ccc(cc1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3;22,6;;;;Train;;;
CHEMBL1163486;Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(Cl)c(Cl)c3;16,5;;;;Train;;;
CHEMBL1171975;C(C1CNCCN1c2ccc3[nH]ncc3c2)c4ccccc4;3,8;;;;Train;;;
CHEMBL1171391;C(C1CNCCN1c2ccc3[nH]ccc3c2)c4ccccc4;43,3;;;;Ext;;;
CHEMBL1170211;Fc1cc(cc2cc[nH]c12)N3CCNCC3Cc4ccccc4;16,8;;;;Ext;;;
CHEMBL196444;Oc1nnc(Cc2ccc(F)c(c2)N3C(=O)CCC3=O)c4ccccc14;1;;;;Train;;;
CHEMBL1209527;Fc1cccc(c1)[C@H](CCN2C[C@H]3CN(C[C@H]3C2)C(=O)c4ccccn4)NC(=O)C5CCOC5;55;;;;Train;;;
CHEMBL1209601;Fc1cccc(c1)[C@H](CCN2C[C@H]3CN(C[C@H]3C2)C(=O)c4cnccn4)NC(=O)C5CCCC5;909;;;;Train;;;
CHEMBL1209304;COC(=O)c1ccc(cc1)C(=O)N2C[C@H]3CN(CC[C@H](NC(=O)C)c4ccccc4)C[C@H]3C2;77;;;;Train;;;
CHEMBL1209754;Fc1cccc(c1)[C@H](CCN2C[C@H]3CN(C[C@H]3C2)C(=O)c4ccc(nn4)C(F)(F)F)NC(=O)C5CCOC5;263;;;;Train;;;
CHEMBL1209445;CC(=O)N[C@@H](CCN1C[C@@H]2CN(C[C@@H]2C1)C(=O)c3cccc(F)c3)c4cccc(F)c4;213;;;;Train;;;
CHEMBL1209602;CC(=O)N[C@@H](CCN1C[C@@H]2CN(C[C@@H]2C1)C(=O)c3ccc(cn3)C(F)(F)F)c4cccc(F)c4;152;;;;Test;;;
CHEMBL1209529;O=C(N[C@@H](CCN1C[C@H]2CN(C[C@H]2C1)C(=O)c3cccnn3)c4ccccc4)C5CCCC5;137;;;;Train;;;
CHEMBL1209526;Fc1cccc(c1)[C@H](CCN2C[C@H]3CN(C[C@H]3C2)C(=O)c4ccccn4)NC(=O)C5CCCC5;512;;;;Train;;;
CHEMBL1209446;Fc1cccc(c1)C(=O)N2C[C@@H]3CN(CC[C@H](NC(=O)C4CCCC4)c5ccccc5)C[C@@H]3C2;644;;;;Ext;;;
CHEMBL1209599;Fc1cccc(c1)[C@H](CCN2C[C@H]3CN(C[C@H]3C2)C(=O)c4cncnc4)NC(=O)C5CCCC5;332;;;;Train;;;
CHEMBL1209673;FC(F)c1ccc(nc1)C(=O)N2C[C@@H]3CN(CC[C@H](NC(=O)C4CCOC4)c5cccc(F)c5)C[C@@H]3C2;253;;;;Train;;;
CHEMBL1209238;Cc1ncnc(C)c1C(=O)N2C[C@@H]3CN(CC[C@H](NC(=O)C4CCOC4)c5ccccc5)C[C@@H]3C2;17;;;;Test;;;
CHEMBL1209444;OC(=O)c1cccc(c1)C(=O)N2C[C@H]3CN(CC[C@H](NC(=O)C4CCCC4)c5ccccc5)C[C@H]3C2;3;;;;Train;;;
CHEMBL1209239;CC(=O)N[C@@H](CCN1C[C@@H]2CN(C[C@@H]2C1)C(=O)c3ccccc3)c4ccccc4;70;;;;Train;;;
CHEMBL1209447;Fc1cccc(c1)[C@H](CCN2C[C@@H]3CN(C[C@@H]3C2)C(=O)c4cccc(F)c4)NC(=O)C5CCOC5;331;;;;Test;;;
CHEMBL1209671;Fc1cccc(c1)[C@H](CCN2C[C@H]3CN(C[C@H]3C2)C(=O)c4ccc(cn4)C(F)(F)F)NC(=O)C5CCOC5;343;;;;Train;;;
CHEMBL1215250;CC(C)[C@@H](NP(=O)(OC[C@H]1OC(C)(C)O[C@H]1C(=O)NO)Oc2ccccc2)C(=O)OC(C)(C)C;5;;;;Ext;;;
CHEMBL1215318;CCOC(=O)[C@H](NP(=O)(OC[C@H]1OC(C)(C)O[C@H]1C(=O)NO)Oc2ccc(C)cc2)C(C)C;0,5;;;;Train;;;
CHEMBL1215186;COC(=O)[C@H](NP(=O)(OC[C@H]1OC(C)(C)O[C@H]1C(=O)NO)Oc2ccccc2)C(C)C;0,5;;;;Train;;;
CHEMBL1215394;CCOC(=O)[C@H](NP(=O)(OC[C@H]1OC(C)(C)O[C@H]1C(=O)NO)Oc2cccc(C)c2C)C(C)C;0,5;;;;Train;;;
CHEMBL1215395;CC(C)[C@@H](NP(=O)(OC[C@H]1OC(C)(C)O[C@H]1C(=O)NO)Oc2cccc(C)c2C)C(=O)OC(C)(C)C;10;;;;Train;;;
CHEMBL1215319;COC(=O)[C@@H](C)NP(=O)(OC[C@H]1OC(C)(C)O[C@H]1C(=O)NO)Oc2ccc(OC)cc2;0,5;;;;Train;;;
CHEMBL1215187;CCOC(=O)[C@H](NP(=O)(OC[C@H]1OC(C)(C)O[C@H]1C(=O)NO)Oc2ccccc2)C(C)C;0,5;;;;Train;;;
CHEMBL1215320;CCOC(=O)[C@H](NP(=O)(OC[C@H]1OC(C)(C)O[C@H]1C(=O)NO)Oc2ccc(OC)cc2)C(C)C;0,5;;;;Train;;;
CHEMBL1222883;CN1[C@@H](CCC1=O)C(=O)NCc2cccc(c2Cl)C(F)(F)F;0,5;;;;Train;;;
CHEMBL1224402;CCCC1(CCNC1)C(=O)c2cc(F)c3[nH]ccc3c2;6;;;;Train;;;
CHEMBL487355;C(c1ccccc1)C2(CCNC2)c3ccc4[nH]ccc4c3;100;;;;Train;;;
CHEMBL1224400;CC(C)(C)CCC1(CCNC1)C(=O)c2ccc(Cl)c(Cl)c2;17;;;;Test;;;
CHEMBL1224240;Cc1cccc2nc(ccc12)C(=O)C3(CCC(C)(C)C)CCNC3;25;;;;Train;;;
CHEMBL1224164;CCCC1(CCCN1)C(=O)c2ccc3[nH]ccc3c2;109;;;;Ext;;;
CHEMBL1224321;CC(C)(C)CCC1(CCNC1)C(=O)c2cc(F)c3[nH]ccc3c2;16,5;;;;Ext;;;
CHEMBL1224490;CC(C)CC1(CCNC1)C(=O)c2cc(F)c3[nH]ccc3c2;5,5;;;;Train;;;
CHEMBL1224562;O=C(c1ccc2[nH]ccc2c1)C3(Cc4ccccc4)CCNC3;36;;;;Train;;;
CHEMBL1224320;CC(C)CCC1(CCNC1)C(=O)c2cc(F)c3[nH]ccc3c2;37,5;;;;Train;;;
CHEMBL1224317;CC(C)(C)CCC1(CCNC1)C(=O)c2ccc(N)c(Cl)c2;12;;;;Ext;;;
CHEMBL1224492;CCCCC1(CCNC1)C(=O)c2cc(F)c3[nH]ccc3c2;19,5;;;;Train;;;
CHEMBL1224093;CC(C)CC1(CCCN1)C(=O)c2ccc3[nH]ncc3c2;25;;;;Train;;;
CHEMBL1224090;CC(C)CC1(CCCN1)C(=O)c2ccc(N)c(Cl)c2;13;;;;Train;;;
CHEMBL1224025;CCC[C@]1(CCCN1)C(=O)c2ccc(Cl)c(Cl)c2;384;;;;Train;;;
CHEMBL1224563;Fc1cc(cc2cc[nH]c12)C(=O)C3(Cc4ccccc4)CCNC3;30;;;;Test;;;
CHEMBL1224319;CC(C)(C)CCC1(CCNC1)C(=O)c2ccc3[nH]ncc3c2;18;;;;Train;;;
