accession_number,description,similar_entities,author,title,journal_reference,pmid,group,subgroup
TANS770110,"Normalized frequency of chain reversal (Tanaka-Scheraga, 1977)","[('CHOP780101', 0.956), ('CHOP780203', 0.94), ('CHOP780216', 0.93), ('PALJ810106', 0.925), ('QIAN880133', 0.92), ('CHAM830101', 0.917), ('QIAN880132', 0.903), ('ISOY800103', 0.897), ('LEVM780106', 0.892), ('GEIM800108', 0.886), ('GEIM800111', 0.883), ('LEVM780103', 0.875), ('PRAM900104', 0.873), ('QIAN880131', 0.873), ('PALJ810105', 0.86), ('CRAJ730103', 0.859), ('CHOP780210', 0.858), ('ROBB760113', 0.853), ('ROBB760108', 0.839), ('BEGF750103', 0.834), ('ROBB760110', 0.805), ('AURR980109', -0.816), ('SUEM840101', -0.864)]","Tanaka, S. and Scheraga, H.A.",Statistical mechanical treatment of protein conformation. 5. A multiphasic model for specific-sequence copolymers of amino acids,"Macromolecules 10, 9-20 (1977) Recalculated by Kidera as normalized frequencies",PMID:557155,indices,"A,alpha and turn propensities"
VASM830101,"Relative population of conformational state A (Vasquez et al., 1983)",[],"Vasquez, M., Nemethy, G. and Scheraga, H.A.",Computed conformational states of the 20 naturally occurring amino acid residues and of the prototype residue alpha-aminobutyric acid,"Macromolecules 16, 1043-1049 (1983)",,indices,"A,alpha and turn propensities"
VASM830102,"Relative population of conformational state C (Vasquez et al., 1983)",[],"Vasquez, M., Nemethy, G. and Scheraga, H.A.",Computed conformational states of the 20 naturally occurring amino acid residues and of the prototype residue alpha-aminobutyric acid,"Macromolecules 16, 1043-1049 (1983)",,indices,"H,Hydrophobicity"
VASM830103,"Relative population of conformational state E (Vasquez et al., 1983)",[],"Vasquez, M., Nemethy, G. and Scheraga, H.A.",Computed conformational states of the 20 naturally occurring amino acid residues and of the prototype residue alpha-aminobutyric acid,"Macromolecules 16, 1043-1049 (1983) (Pro !)",,indices,"H,Hydrophobicity"
VELV850101,"Electron-ion interaction potential (Veljkovic et al., 1985)","[('COSI940101', 1.0)]","Veljkovic, V., Cosic, I., Dimitrijevic, B. and Lalovic, D.",Is it possible to analyze DNA and protein sequences by the method of digital signal processing?,"IEEE Trans. Biomed. Eng. 32, 337-341 (1985)",,indices,"H,Hydrophobicity"
VENT840101,"Bitterness (Venanzi, 1984)","[('NOZY710101', 0.897), ('BASU050101', 0.858), ('ZHOH040101', 0.858), ('BASU050102', 0.851), ('GUOD860101', 0.848), ('PTIO830102', 0.842), ('WILM950101', 0.84), ('CORJ870102', 0.837), ('SWER830101', 0.836), ('ZHOH040102', 0.831), ('MEEJ810102', 0.831), ('PALJ810104', 0.831), ('ROSM880104', 0.829), ('RADA880102', 0.826), ('CHOP780209', 0.817), ('BASU050103', 0.814), ('LIFS790101', 0.814), ('MEEJ810101', 0.813), ('CIDH920105', 0.813), ('TAKK010101', 0.812), ('ZHOH040103', 0.807), ('SIMZ760101', 0.806), ('PONP800107', 0.805), ('CHOP780202', 0.805), ('GOLD730101', 0.802), ('MIYS990102', -0.82), ('MIYS990101', -0.821), ('WOLS870101', -0.835), ('PARJ860101', -0.846), ('BULH740101', -0.907)]","Venanzi, T.J.",Hydrophobicity parameters and the bitter taste of L-amino acids,"J. Theor. Biol. 111, 447-450 (1984)",PMID:6521488,indices,"H,Hydrophobicity"
VHEG790101,"Transfer free energy to lipophilic phase (von Heijne-Blomberg, 1979)","[('ENGD860101', 0.909), ('PRAM900101', 0.909), ('ROSM880101', 0.883), ('PUNT030101', 0.876), ('PUNT030102', 0.873), ('KUHL950101', 0.858), ('HOPT810101', 0.849), ('GUYH850105', 0.845), ('ROSM880102', 0.828), ('LEVM760101', 0.825), ('JURD980101', -0.814), ('RADA880102', -0.818), ('NADH010101', -0.827), ('WOLR790101', -0.844), ('BLAS910101', -0.847), ('NAKH900110', -0.848), ('EISD860101', -0.862), ('WOLR810101', -0.867), ('ROSM880105', -0.901), ('JACR890101', -0.903), ('EISD840101', -0.924), ('RADA880101', -0.925)]","von Heijne, G. and Blomberg, C.",Trans-membrane translocation of proteins: The direct transfer model,"Eur. J. Biochem. 97, 175-181 (1979)",PMID:477664,indices,"H,Hydrophobicity"
WARP780101,"Average interactions per side chain atom (Warme-Morgan, 1978)","[('DESM900102', 0.882), ('JANJ780102', 0.878), ('JANJ790102', 0.877), ('NADH010102', 0.87), ('DESM900101', 0.864), ('BIOV880102', 0.853), ('KYTJ820101', 0.845), ('MEIH800103', 0.835), ('JURD980101', 0.827), ('CHOC760103', 0.824), ('ROSG850102', 0.823), ('EISD860103', 0.82), ('OLSK800101', 0.818), ('CHOC760104', 0.815), ('NADH010103', 0.811), ('CORJ870101', 0.8), ('ROSM880102', -0.801), ('KUHL950101', -0.811), ('PUNT030101', -0.814), ('ROSM880101', -0.816), ('MEIH800102', -0.826), ('PRAM900101', -0.827), ('ENGD860101', -0.827), ('RACS770103', -0.848), ('CHOC760102', -0.849), ('JANJ780101', -0.869), ('GUYH850104', -0.882), ('JANJ780103', -0.89), ('OOBM770101', -0.937)]","Warme, P.K. and Morgan, R.S.",A survey of amino acid side-chain interactions in 21 proteins,"J. Mol. Biol. 118, 289-304 (1978) (Gly 0.81)",PMID:633361,indices,"H,Hydrophobicity"
WEBA780101,"RF value in high salt chromatography (Weber-Lacey, 1978)","[('ZHOH040102', -0.807), ('MEEJ800102', -0.808), ('ROSG850101', -0.817), ('MEEJ810101', -0.831), ('MEEJ810102', -0.854), ('ZHOH040101', -0.865), ('NOZY710101', -0.89), ('LEVM760107', -0.923), ('GARJ730101', -0.924)]","Weber, A.L. and Lacey, J.C.,Jr.",Genetic code correlations: Amino acids and their anticodon nucleotides,"J. Mol. Evol. 11, 199-210 (1978)",PMID:691071,indices,"P,Physicochemical properties"
WERD780101,"Propensity to be buried inside (Wertz-Scheraga, 1978)","[('NISK860101', 0.966), ('BIOV880101', 0.951), ('ROSG850102', 0.943), ('MIYS850101', 0.934), ('RADA880108', 0.93), ('BIOV880102', 0.929), ('CASG920101', 0.927), ('ZHOH040103', 0.923), ('BASU050102', 0.92), ('CIDH920105', 0.905), ('CIDH920104', 0.896), ('PONP930101', 0.895), ('MEIH800103', 0.895), ('BAEK050101', 0.895), ('NISK800101', 0.891), ('NADH010104', 0.89), ('CORJ870107', 0.887), ('PONP800102', 0.883), ('CORJ870103', 0.882), ('CIDH920103', 0.881), ('NADH010103', 0.88), ('PONP800101', 0.88), ('CIDH920101', 0.878), ('CORJ870106', 0.878), ('PONP800103', 0.876), ('CORJ870101', 0.873), ('ROBB790101', 0.872), ('CIDH920102', 0.871), ('FAUJ830101', 0.862), ('ZHOH040101', 0.859), ('CORJ870105', 0.858), ('BASU050103', 0.857), ('MANP780101', 0.853), ('CORJ870104', 0.85), ('PONP800108', 0.843), ('BASU050101', 0.843), ('PLIV810101', 0.841), ('NADH010102', 0.841), ('NADH010105', 0.837), ('MEEJ810101', 0.825), ('DESM900102', 0.814), ('CORJ870102', 0.804), ('SWER830101', 0.804), ('FUKS010102', -0.801), ('BHAR880101', -0.803), ('KRIW710101', -0.819), ('PUNT030101', -0.821), ('GRAR740102', -0.826), ('FUKS010104', -0.832), ('KARP850101', -0.842), ('RACS770103', -0.846), ('PARS000101', -0.853), ('PARJ860101', -0.869), ('FUKS010103', -0.869), ('GUYH850101', -0.871), ('KRIW790102', -0.875), ('GUYH850103', -0.876), ('CORJ870108', -0.878), ('VINM940102', -0.886), ('KRIW790101', -0.899), ('MEIH800102', -0.903), ('RACS770102', -0.906), ('OOBM770103', -0.906), ('KARP850102', -0.909), ('MIYS990101', -0.912), ('RACS770101', -0.912), ('MIYS990102', -0.914), ('FASG890101', -0.926), ('VINM940103', -0.926), ('VINM940101', -0.931), ('MIYS990105', -0.936), ('MIYS990103', -0.938), ('MEIH800101', -0.943), ('MIYS990104', -0.949), ('GUYH850102', -0.976)]","Wertz, D.H. and Scheraga, H.A.",Influence of water on protein structure. An analysis of the preferences of amino acid residues for the inside or outside and for specific conformations in a protein molecule,"Macromolecules 11, 9-15 (1978) Adjusted values",PMID:621952,indices,"H,Hydrophobicity"
WERD780102,"Free energy change of epsilon(i) to epsilon(ex) (Wertz-Scheraga, 1978)",[],"Wertz, D.H. and Scheraga, H.A.",Influence of water on protein structure. An analysis of the preferences of amino acid residues for the inside or outside and for specific conformations in a protein molecule,"Macromolecules 11, 9-15 (1978) Adjusted values",PMID:621952,indices,"O,Other properties"
WERD780103,"Free energy change of alpha(Ri) to alpha(Rh) (Wertz-Scheraga, 1978)",[],"Wertz, D.H. and Scheraga, H.A.",Influence of water on protein structure. An analysis of the preferences of amino acid residues for the inside or outside and for specific conformations in a protein molecule,"Macromolecules 11, 9-15 (1978) Adjusted values (Met !)",PMID:621952,indices,"H,Hydrophobicity"
WERD780104,"Free energy change of epsilon(i) to alpha(Rh) (Wertz-Scheraga, 1978)",[],"Wertz, D.H. and Scheraga, H.A.",Influence of water on protein structure. An analysis of the preferences of amino acid residues for the inside or outside and for specific conformations in a protein molecule,"Macromolecules 11, 9-15 (1978) Adjusted values",PMID:621952,indices,"H,Hydrophobicity"
WOEC730101,"Polar requirement (Woese, 1973)","[('GRAR740102', 0.96), ('PUNT030102', 0.894), ('HOPT810101', 0.886), ('HOPA770101', 0.876), ('LEVM760101', 0.872), ('ENGD860101', 0.871), ('PRAM900101', 0.871), ('MIYS990105', 0.849), ('ROSM880101', 0.844), ('WOLS870101', 0.841), ('KUHL950101', 0.837), ('OOBM770103', 0.835), ('VINM940101', 0.834), ('MIYS990104', 0.827), ('PUNT030101', 0.825), ('MIYS990103', 0.824), ('PARJ860101', 0.821), ('FUKS010102', 0.82), ('FAUJ880110', 0.812), ('KIDA850101', 0.807), ('MIYS990102', 0.805), ('MIYS990101', 0.805), ('OOBM770101', 0.804), ('ROSM880102', 0.801), ('NADH010102', -0.8), ('CIDH920105', -0.8), ('MEIH800103', -0.802), ('ISOY800102', -0.803), ('EISD860103', -0.803), ('ROSG850102', -0.804), ('TANS770103', -0.806), ('BASU050101', -0.811), ('RADA880101', -0.812), ('BIOV880102', -0.819), ('WIMW960101', -0.821), ('NISK860101', -0.822), ('PONP800103', -0.823), ('CIDH920104', -0.823), ('RADA880108', -0.825), ('CORJ870102', -0.828), ('BIOV880101', -0.829), ('PONP800108', -0.831), ('SWER830101', -0.832), ('BASU050103', -0.836), ('EISD860101', -0.838), ('CORJ870101', -0.841), ('MAXF760102', -0.842), ('DESM900102', -0.847), ('FAUJ830101', -0.88), ('ROSM880105', -0.902), ('BLAS910101', -0.902)]","Woese, C.R.",Evolution of genetic code,"Naturwiss. 60, 447-459 (1973)",PMID:4588588,indices,"H,Hydrophobicity"
WOLR810101,"Hydration potential (Wolfenden et al., 1981)","[('WOLR790101', 0.996), ('RADA880101', 0.939), ('EISD840101', 0.914), ('RADA880104', 0.91), ('JACR890101', 0.908), ('RADA880107', 0.89), ('KYTJ820101', 0.885), ('JURD980101', 0.881), ('RADA880105', 0.875), ('CHOC760103', 0.873), ('OLSK800101', 0.869), ('CHOC760104', 0.868), ('JANJ780102', 0.851), ('NADH010101', 0.848), ('JANJ790102', 0.828), ('JANJ780103', -0.822), ('GUYH850104', -0.826), ('ROSM880102', -0.829), ('CHOC760102', -0.84), ('OOBM770101', -0.847), ('JANJ780101', -0.864), ('VHEG790101', -0.867), ('ROSM880101', -0.884), ('ENGD860101', -0.887), ('PRAM900101', -0.887), ('KUHL950101', -0.898), ('FAUJ880109', -0.904), ('GUYH850105', -0.916)]","Wolfenden, R. andersson, L., Cullis, P.M. and Southgate, C.C.B.",Affinties of amino acid side chains for solvent water,"Biochemistry 20, 849-855 (1981) (Pro 2.9)",PMID:7213619,indices,"H,Hydrophobicity"
WOLS870101,"Principal property value z1 (Wold et al., 1987)","[('PARJ860101', 0.964), ('BULH740101', 0.929), ('MIYS990101', 0.912), ('MIYS990102', 0.91), ('GRAR740102', 0.91), ('ROSM880102', 0.877), ('PUNT030102', 0.868), ('ROSM880101', 0.866), ('PUNT030101', 0.853), ('MEIH800101', 0.852), ('OOBM770103', 0.852), ('KIDA850101', 0.852), ('LEVM760101', 0.845), ('WOEC730101', 0.841), ('MIYS990105', 0.838), ('GUYH850103', 0.836), ('HOPT810101', 0.83), ('MIYS990104', 0.83), ('MIYS990103', 0.815), ('MEIH800102', 0.813), ('RACS770102', 0.802), ('MANP780101', -0.809), ('EISD840101', -0.82), ('RADA880101', -0.823), ('MEEJ800101', -0.823), ('SIMZ760101', -0.83), ('ROBB790101', -0.831), ('NAKH900110', -0.832), ('VENT840101', -0.835), ('JOND750101', -0.837), ('ARGP820101', -0.838), ('RADA880108', -0.84), ('EISD860103', -0.841), ('BIOV880102', -0.842), ('NISK860101', -0.848), ('BASU050102', -0.849), ('WILM950101', -0.851), ('PONP800107', -0.852), ('BIOV880101', -0.854), ('GOLD730101', -0.854), ('ZHOH040101', -0.858), ('TAKK010101', -0.858), ('BASU050103', -0.866), ('BASU050101', -0.869), ('CIDH920102', -0.869), ('ZHOH040103', -0.87), ('ROSM880104', -0.87), ('BROC820101', -0.871), ('RADA880102', -0.873), ('NOZY710101', -0.874), ('CIDH920103', -0.879), ('COWR900101', -0.883), ('CORJ870102', -0.885), ('SWER830101', -0.887), ('CIDH920104', -0.891), ('CIDH920105', -0.899), ('ROSM880105', -0.899), ('MIYS850101', -0.899), ('MEEJ810102', -0.905), ('MEEJ810101', -0.906), ('EISD860101', -0.918), ('MEEJ800102', -0.925), ('FAUJ830101', -0.928), ('BLAS910101', -0.93), ('ZIMJ680105', -0.937), ('GUOD860101', -0.955), ('PLIV810101', -0.963)]","Wold, S., Eriksson, L., Hellberg, S., Jonsson, J., Sjostrom, M., Skagerberg, B. and Wikstrom, C.",Principal property values for six non-natural amino acids and their application to a structure-activity relationship for oxytocin peptide analogues,"Can. J. Chem. 65, 1814-1820 (1987)",,indices,"H,Hydrophobicity"
WOLS870102,"Principal property value z2 (Wold et al., 1987)","[('LEVM760102', 0.881), ('FASG760101', 0.866), ('FAUJ880106', 0.866), ('CHOC760101', 0.845), ('LEVM760105', 0.836), ('FAUJ880103', 0.814)]","Wold, S., Eriksson, L., Hellberg, S., Jonsson, J., Sjostrom, M., Skagerberg, B. and Wikstrom, C.",Principal property values for six non-natural amino acids and their application to a structure-activity relationship for oxytocin peptide analogues,"Can. J. Chem. 65, 1814-1820 (1987)",,indices,"P,Physicochemical properties"
WOLS870103,"Principal property value z3 (Wold et al., 1987)",[],"Wold, S., Eriksson, L., Hellberg, S., Jonsson, J., Sjostrom, M., Skagerberg, B. and Wikstrom, C.",Principal property values for six non-natural amino acids and their application to a structure-activity relationship for oxytocin peptide analogues,"Can. J. Chem. 65, 1814-1820 (1987)",,indices,"A,alpha and turn propensities"
YUTK870101,"Unfolding Gibbs energy in water, pH7.0 (Yutani et al., 1987)","[('YUTK870102', 0.827), ('EISD840101', 0.809), ('RADA880101', 0.803), ('GUYH850101', -0.813), ('GUYH850105', -0.841)]","Yutani, K., Ogasahara, K., Tsujita, T. and Sugino, Y.",Dependence of conformational stability on hydrophobicity of the amino acid residue in a series of variant proteins substituted at a unique position of tryptophan synthase alpha subunit,"Proc. Natl. Acad. Sci. USA 84, 4441-4444 (1987) (Arg missing)",PMID:3299367,indices,"H,Hydrophobicity"
YUTK870102,"Unfolding Gibbs energy in water, pH9.0 (Yutani et al., 1987)","[('YUTK870101', 0.827)]","Yutani, K., Ogasahara, K., Tsujita, T. and Sugino, Y.",Dependence of conformational stability on hydrophobicity of the amino acid residue in a series of variant proteins substituted at a unique position of tryptophan synthase alpha subunit,"Proc. Natl. Acad. Sci. USA 84, 4441-4444 (1987) (Arg missing)",PMID:3299367,indices,"H,Hydrophobicity"
YUTK870103,"Activation Gibbs energy of unfolding, pH7.0 (Yutani et al., 1987)","[('YUTK870104', 0.997), ('EISD860102', -0.839)]","Yutani, K., Ogasahara, K., Tsujita, T. and Sugino, Y.",Dependence of conformational stability on hydrophobicity of the amino acid residue in a series of variant proteins substituted at a unique position of tryptophan synthase alpha subunit,"Proc. Natl. Acad. Sci. USA 84, 4441-4444 (1987) (Arg missing)",PMID:3299367,indices,"H,Hydrophobicity"
YUTK870104,"Activation Gibbs energy of unfolding, pH9.0 (Yutani et al., 1987)","[('YUTK870103', 0.997), ('EISD860102', -0.84)]","Yutani, K., Ogasahara, K., Tsujita, T. and Sugino, Y.",Dependence of conformational stability on hydrophobicity of the amino acid residue in a series of variant proteins substituted at a unique position of tryptophan synthase alpha subunit,"Proc. Natl. Acad. Sci. USA 84, 4441-4444 (1987) (Arg missing)",PMID:3299367,indices,"H,Hydrophobicity"
ZASB820101,"Dependence of partition coefficient on ionic strength (Zaslavsky et al., 1982)","[('WIMW960101', 0.885), ('CIDH920102', 0.809), ('SNEP660103', 0.804), ('OOBM850102', -0.853)]","Zaslavsky, B.Yu, Mestechkina, N.M., Miheeva, L.M. and Rogozhin, S.V.",Measurement of relative hydrophobicity of amino acid side-chains by partition in an aqueous two-phase polymeric system: Hydrophobicity scale for non-polar and ionogenic side-chains,"J. Chromatogr. 240, 21-28 (1982) (C H Y missing?)",,indices,"P,Physicochemical properties"
ZIMJ680101,"Hydrophobicity (Zimmerman et al., 1968)","[('SIMZ760101', 0.821)]","Zimmerman, J.M., Eliezer, N. and Simha, R.",The characterization of amino acid sequences in proteins by statistical methods,"J. Theor. Biol. 21, 170-201 (1968)",PMID:5700434,indices,"H,Hydrophobicity"
ZIMJ680102,"Bulkiness (Zimmerman et al., 1968)","[('FAUJ880101', 0.888), ('ZHOH040102', 0.878), ('LEVM760106', 0.873), ('TAKK010101', 0.84), ('BULH740102', 0.825), ('GOLD730101', 0.818), ('SIMZ760101', 0.81)]","Zimmerman, J.M., Eliezer, N. and Simha, R.",The characterization of amino acid sequences in proteins by statistical methods,"J. Theor. Biol. 21, 170-201 (1968)",PMID:5700434,indices,"P,Physicochemical properties"
ZIMJ680103,"Polarity (Zimmerman et al., 1968)","[('PRAM900101', 0.854), ('ENGD860101', 0.854), ('HOPA770101', 0.815), ('JACR890101', -0.835)]","Zimmerman, J.M., Eliezer, N. and Simha, R.",The characterization of amino acid sequences in proteins by statistical methods,"J. Theor. Biol. 21, 170-201 (1968)",PMID:5700434,indices,"H,Hydrophobicity"
ZIMJ680104,"Isoelectric point (Zimmerman et al., 1968)","[('KLEP840101', 0.941), ('FAUJ880111', 0.813), ('FINA910103', 0.805)]","Zimmerman, J.M., Eliezer, N. and Simha, R.",The characterization of amino acid sequences in proteins by statistical methods,"J. Theor. Biol. 21, 170-201 (1968)",PMID:5700434,indices,"H,Hydrophobicity"
ZIMJ680105,"RF rank (Zimmerman et al., 1968)","[('MEEJ800102', 0.921), ('EISD860101', 0.9), ('BROC820101', 0.896), ('PLIV810101', 0.875), ('BROC820102', 0.865), ('ROSM880105', 0.857), ('TAKK010101', 0.856), ('BLAS910101', 0.855), ('RADA880102', 0.851), ('GUOD860101', 0.85), ('MEEJ800101', 0.842), ('NOZY710101', 0.837), ('SWER830101', 0.829), ('CORJ870102', 0.828), ('GOLD730101', 0.82), ('FAUJ830101', 0.816), ('LAWE840101', 0.809), ('SIMZ760101', 0.805), ('MIYS990101', -0.801), ('HOPT810101', -0.816), ('LEVM760101', -0.844), ('BULH740101', -0.879), ('PARJ860101', -0.886), ('WOLS870101', -0.937)]","Zimmerman, J.M., Eliezer, N. and Simha, R.",The characterization of amino acid sequences in proteins by statistical methods,"J. Theor. Biol. 21, 170-201 (1968)",PMID:5700434,indices,"H,Hydrophobicity"
AURR980101,"Normalized positional residue frequency at helix termini N4'(Aurora-Rose, 1998)",[],"Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980102,"Normalized positional residue frequency at helix termini N""' (Aurora-Rose, 1998)",[],"Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980103,"Normalized positional residue frequency at helix termini N"" (Aurora-Rose, 1998)",[],"Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980104,"Normalized positional residue frequency at helix termini N'(Aurora-Rose, 1998)","[('AURR980105', 0.839), ('FINA910101', 0.804)]","Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980105,"Normalized positional residue frequency at helix termini Nc (Aurora-Rose, 1998)","[('AURR980104', 0.839)]","Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980106,"Normalized positional residue frequency at helix termini N1 (Aurora-Rose, 1998)",[],"Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980107,"Normalized positional residue frequency at helix termini N2 (Aurora-Rose, 1998)","[('RICJ880106', 0.8)]","Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980108,"Normalized positional residue frequency at helix termini N3 (Aurora-Rose, 1998)","[('AURR980112', 0.91), ('PALJ810102', 0.871), ('CHOP780201', 0.867), ('KANM800103', 0.857), ('ISOY800101', 0.856), ('AURR980109', 0.848), ('MAXF760101', 0.841), ('QIAN880106', 0.838), ('ROBB760103', 0.835), ('AURR980113', 0.821), ('QIAN880104', 0.815), ('ROBB760101', 0.814), ('BEGF750101', 0.81), ('BURA740101', 0.808), ('QIAN880107', 0.803), ('MUNV940102', -0.803), ('MUNV940101', -0.814), ('CHAM830101', -0.834)]","Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980109,"Normalized positional residue frequency at helix termini N4 (Aurora-Rose, 1998)","[('KANM800103', 0.944), ('AURR980114', 0.939), ('ISOY800101', 0.894), ('QIAN880107', 0.893), ('AURR980113', 0.892), ('SUEM840101', 0.882), ('PALJ810102', 0.877), ('AURR980112', 0.875), ('MAXF760101', 0.865), ('QIAN880106', 0.862), ('CHOP780201', 0.859), ('ROBB760103', 0.857), ('KANM800101', 0.852), ('AURR980108', 0.848), ('RICJ880109', 0.828), ('BEGF750101', 0.821), ('PTIO830101', 0.82), ('AURR980110', 0.817), ('ROBB760101', 0.81), ('QIAN880109', 0.807), ('RACS820108', 0.804), ('QIAN880110', 0.802), ('FINA770101', 0.802), ('QIAN880132', -0.806), ('LEVM780103', -0.814), ('GEIM800111', -0.814), ('PRAM900104', -0.815), ('TANS770110', -0.816), ('MUNV940102', -0.818), ('MUNV940101', -0.828), ('CHOP780101', -0.837), ('PALJ810106', -0.845), ('CHAM830101', -0.896)]","Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980110,"Normalized positional residue frequency at helix termini N5 (Aurora-Rose, 1998)","[('AURR980115', 0.907), ('AURR980111', 0.867), ('MAXF760101', 0.86), ('ISOY800101', 0.855), ('KANM800101', 0.83), ('AURR980109', 0.817), ('AURR980112', 0.816), ('QIAN880107', 0.815), ('CHOP780201', 0.814), ('PALJ810102', 0.812), ('AURR980114', 0.811), ('GEOR030108', 0.804), ('QIAN880106', 0.804), ('MUNV940101', -0.822), ('MUNV940102', -0.846)]","Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980111,"Normalized positional residue frequency at helix termini C5 (Aurora-Rose, 1998)","[('AURR980110', 0.867), ('GEOR030108', 0.846), ('AURR980115', 0.835), ('PALJ810102', 0.83), ('TANS770101', 0.817), ('CHOP780201', 0.813), ('AURR980114', 0.811), ('MAXF760101', 0.811), ('ISOY800101', 0.801), ('AURR980112', 0.8)]","Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980112,"Normalized positional residue frequency at helix termini C4 (Aurora-Rose, 1998)","[('AURR980108', 0.91), ('PALJ810102', 0.888), ('AURR980109', 0.875), ('KANM800103', 0.871), ('ISOY800101', 0.87), ('CHOP780201', 0.856), ('AURR980114', 0.853), ('AURR980115', 0.85), ('AURR980113', 0.848), ('KANM800101', 0.847), ('GEOR030108', 0.846), ('RACS820108', 0.84), ('QIAN880106', 0.839), ('MAXF760101', 0.838), ('PALJ810109', 0.817), ('AURR980110', 0.816), ('GEIM800104', 0.815), ('ROBB760101', 0.806), ('QIAN880107', 0.802), ('GEIM800101', 0.802), ('AURR980111', 0.8), ('MUNV940101', -0.819), ('MUNV940102', -0.853)]","Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980113,"Normalized positional residue frequency at helix termini C3 (Aurora-Rose, 1998)","[('KANM800103', 0.905), ('AURR980109', 0.892), ('SUEM840101', 0.887), ('BEGF750101', 0.857), ('FINA770101', 0.849), ('AURR980112', 0.848), ('ROBB760103', 0.838), ('AURR980114', 0.836), ('QIAN880106', 0.835), ('QIAN880105', 0.833), ('PTIO830101', 0.833), ('QIAN880107', 0.832), ('AURR980108', 0.821), ('ISOY800101', 0.815), ('RICJ880109', 0.808), ('CHAM830101', -0.828)]","Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980114,"Normalized positional residue frequency at helix termini C2 (Aurora-Rose, 1998)","[('AURR980109', 0.939), ('KANM800103', 0.916), ('QIAN880107', 0.876), ('FINA770101', 0.875), ('ISOY800101', 0.857), ('MAXF760101', 0.853), ('AURR980112', 0.853), ('KANM800101', 0.852), ('PALJ810102', 0.848), ('SUEM840101', 0.845), ('AURR980113', 0.836), ('CHOP780201', 0.828), ('QIAN880110', 0.819), ('RACS820108', 0.818), ('AURR980111', 0.811), ('AURR980110', 0.811), ('QIAN880109', 0.81), ('PTIO830101', 0.809), ('AURR980115', 0.804), ('GEOR030108', 0.804), ('QIAN880106', 0.803), ('ROBB760103', 0.801), ('TANS770101', 0.8), ('CHOP780101', -0.803), ('MUNV940102', -0.82), ('MUNV940101', -0.821), ('CHAM830101', -0.842), ('PALJ810106', -0.842)]","Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980115,"Normalized positional residue frequency at helix termini C1 (Aurora-Rose, 1998)","[('AURR980110', 0.907), ('KANM800101', 0.858), ('MAXF760101', 0.852), ('AURR980112', 0.85), ('ISOY800101', 0.844), ('AURR980111', 0.835), ('TANS770101', 0.834), ('PALJ810102', 0.827), ('GEOR030108', 0.821), ('LEVM780104', 0.818), ('CHOP780201', 0.816), ('GEIM800101', 0.804), ('AURR980114', 0.804), ('RACS820108', 0.802), ('MUNV940101', -0.807), ('MUNV940102', -0.852)]","Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980116,"Normalized positional residue frequency at helix termini Cc (Aurora-Rose, 1998)",[],"Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
AURR980117,"Normalized positional residue frequency at helix termini C' (Aurora-Rose, 1998)","[('RICJ880115', 0.921), ('MAXF760104', 0.849), ('ISOY800108', 0.822)]","Aurora, R. and Rose, G.",Helix capping,"Protein Science 7, 21-38 (1998)",PMID:9514257,indices,"A,alpha and turn propensities"
